c_r_rc_100_100/c101.txt ,1.686874465,1.686874465,0,4.274279118,,Instancia,Soluci—n inicial 1era iteraci—n,Mejor Soluci—n Inicial,Mejor Encontrado ILS,GAP %,Tiempo (s)
c_r_rc_100_100/c101.txt ,1.638691526,1.662419221,1.447965887,9.653854847,,,,,,,
c_r_rc_100_100/c101.txt ,1.64821584,1.666986216,1.138829995,7.100199938,,,,,,,
c_r_rc_100_100/c101.txt ,1.643372801,1.643372801,0,4.194627047,,,,,,,
c_r_rc_100_100/c101.txt ,1.666911957,1.676679934,0.585992347,7.385819912,,,,,,,
c_r_rc_100_100/c101.txt ,1.694027031,1.694027031,0,4.182142019,,,,,,,
c_r_rc_100_100/c101.txt ,1.642553822,1.642553822,0,4.447246075,,,,,,,
c_r_rc_100_100/c101.txt ,1.652081254,1.652081254,0,4.893091202,,,,,,,
c_r_rc_100_100/c101.txt ,1.629556983,1.670353485,2.503533335,5.779057026,,,,,,,
c_r_rc_100_100/c101.txt ,1.690529826,1.690529826,0,4.231042862,,,,,,,
c_r_rc_100_100/c101.txt ,1.655378231,1.655378231,0,4.179406166,,,,,,,
c_r_rc_100_100/c101.txt ,1.661260611,1.696802535,2.139455051,10.97899795,,,,,,,
c_r_rc_100_100/c101.txt ,1.680321649,1.680321649,0,4.519011021,,,,,,,
c_r_rc_100_100/c101.txt ,1.664728793,1.682145801,1.046236921,12.20665812,,,,,,,
c_r_rc_100_100/c101.txt ,1.645900029,1.690918796,2.735206678,7.456411839,,,,,,,
c_r_rc_100_100/c101.txt ,1.661907639,1.685367382,1.411615323,7.932914019,,,,,,,
c_r_rc_100_100/c101.txt ,1.656845466,1.68233601,1.538498565,6.802082062,,,,,,,
c_r_rc_100_100/c101.txt ,1.61730149,1.698763651,5.036918736,8.04298687,,,,,,,
c_r_rc_100_100/c101.txt ,1.642212614,1.68540723,2.630269405,6.111673832,,,,,,,
c_r_rc_100_100/c101.txt ,1.644357683,1.689376451,2.737772199,5.723209858,,,,,,,
c_r_rc_100_100/c101.txt ,1.654078164,1.654078164,0,5.061450958,,,,,,,
c_r_rc_100_100/c101.txt ,1.648517608,1.691997061,2.637487935,7.643269062,,,,,,,
c_r_rc_100_100/c101.txt ,1.620244928,1.687552299,4.15414791,12.99024987,,,,,,,
c_r_rc_100_100/c101.txt ,1.657747411,1.657747411,0,4.134079933,,,,,,,
